ticker,peer_string,peer_list
TTC,"DE,AGCO,LNN,ALG,KUBTY,ARTW,PLOW","['DE', 'AGCO', 'LNN', 'ALG', 'KUBTY', 'ARTW', 'PLOW']"
TTD,"PLAN,PLAY-CA,PLFX,PKK-CA","['PLAN', 'PLAY-CA', 'PLFX', 'PKK-CA']"
TTEC,"SRT,ACN,SYKE,SNX,XRX,IBM","['SRT', 'ACN', 'SYKE', 'SNX', 'XRX', 'IBM']"
TTEK,"ACM,HIL,CLH,WM,ICFI,GLDD,MYRG","['ACM', 'HIL', 'CLH', 'WM', 'ICFI', 'GLDD', 'MYRG']"
TTGT,"CSGP,SSTK,BV,GOOGL","['CSGP', 'SSTK', 'BV', 'GOOGL']"
TTI,"HAL,SLB,RES,HLX,OII","['HAL', 'SLB', 'RES', 'HLX', 'OII']"
TTM,"F,NSANY,TM,DDAIF","['F', 'NSANY', 'TM', 'DDAIF']"
TTMI,"PLXS,SANM,FLEX,JBL,BHE,ELTK,SGMA","['PLXS', 'SANM', 'FLEX', 'JBL', 'BHE', 'ELTK', 'SGMA']"
TTNP,"VNDA,MNOV,CLDX,JNJ,BDSI,NVS,DRRX,ELTP,RGEN","['VNDA', 'MNOV', 'CLDX', 'JNJ', 'BDSI', 'NVS', 'DRRX', 'ELTP', 'RGEN']"
TTOO,"BLCM,ALIM,ALDX,CDNA","['BLCM', 'ALIM', 'ALDX', 'CDNA']"
TTP,,['']
TTWO,"EA,ATVI,GLUU,MSFT,COOL","['EA', 'ATVI', 'GLUU', 'MSFT', 'COOL']"
TU,"BCE,RCI,VZ,T,ORAN,RCI.B-CA,BCE-CA","['BCE', 'RCI', 'VZ', 'T', 'ORAN', 'RCI.B-CA', 'BCE-CA']"
TUP,"NWL,NUS,LCUT,AMWD,CTIB,EL,PG","['NWL', 'NUS', 'LCUT', 'AMWD', 'CTIB', 'EL', 'PG']"
TURN,"OTRA,OXLC,OXSQ,PAC-CA","['OTRA', 'OXLC', 'OXSQ', 'PAC-CA']"
TUSK,"PMDP,PGSVY,PED,PTOG","['PMDP', 'PGSVY', 'PED', 'PTOG']"
TV,"DIS,NFLX,CMCSA,AMX","['DIS', 'NFLX', 'CMCSA', 'AMX']"
TVC,,['']
TVTY,"WW,TVTY,NEWU-CA","['WW', 'TVTY', 'NEWU-CA']"
TWI,"CSL,GT,CTB,AGCO,CVGI,CAT,CTTAY,PSIX,SUP,DAN","['CSL', 'GT', 'CTB', 'AGCO', 'CVGI', 'CAT', 'CTTAY', 'PSIX', 'SUP', 'DAN']"
TWIN,"CMI,CAT,ALSN,MPX,BC,MBUU","['CMI', 'CAT', 'ALSN', 'MPX', 'BC', 'MBUU']"
TWLO,"PLAN,PLAY-CA,PLFX,PKK-CA","['PLAN', 'PLAY-CA', 'PLFX', 'PKK-CA']"
TWLV,,['']
TWN,,['']
TWNK,"TWNK,HONBUN-JM,FLO,CZNI","['TWNK', 'HONBUN-JM', 'FLO', 'CZNI']"
TWO,"REG,PDM,ALX,AIV","['REG', 'PDM', 'ALX', 'AIV']"
TWOU,"LRN,JW.A,AMZN,ONE,PSO,TYL,NWSA","['LRN', 'JW.A', 'AMZN', 'ONE', 'PSO', 'TYL', 'NWSA']"
TWST,"NVCR,NVAX,ONVO,ORTX","['NVCR', 'NVAX', 'ONVO', 'ORTX']"
TWTR,"GOOGL,FB,MSFT,TRIP,RENN","['GOOGL', 'FB', 'MSFT', 'TRIP', 'RENN']"
TX,"PKX,MT,SID,GGB,ATI,SIM,TS","['PKX', 'MT', 'SID', 'GGB', 'ATI', 'SIM', 'TS']"
TXMD,"AGRX,LCI,PFE,ABBV,RPRX","['AGRX', 'LCI', 'PFE', 'ABBV', 'RPRX']"
TXN,"MXIM,ADI,STM,INTC,NVDA,QCOM","['MXIM', 'ADI', 'STM', 'INTC', 'NVDA', 'QCOM']"
TXRH,"DRI,DENN,BLMN,RRGB,EAT,CAKE,CHUY,BDL,BJRI","['DRI', 'DENN', 'BLMN', 'RRGB', 'EAT', 'CAKE', 'CHUY', 'BDL', 'BJRI']"
TXT,"GD,LMT,BA,SPR,ERJ,AVAV,AIR","['GD', 'LMT', 'BA', 'SPR', 'ERJ', 'AVAV', 'AIR']"
TY,,['']
TYG,,['']
TYHT,"NVG-CA,NSHS-CA,OGI-CA,ONBI","['NVG-CA', 'NSHS-CA', 'OGI-CA', 'ONBI']"
TYL,"IBM,HPQ,ONE,TRI,TWOU,LRN,MSI,ZBRA","['IBM', 'HPQ', 'ONE', 'TRI', 'TWOU', 'LRN', 'MSI', 'ZBRA']"
TYME,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
TZOO,"EXPE,TRIP,DAL,RCL","['EXPE', 'TRIP', 'DAL', 'RCL']"
UA,"COLM,NKE,PVH,GES,SQBG,SKX","['COLM', 'NKE', 'PVH', 'GES', 'SQBG', 'SKX']"
UAA,"UAA,RYU-CA,COLM","['UAA', 'RYU-CA', 'COLM']"
UAL,"ALK,JBLU,DAL,LUV,SKYW,AAL,ALGT,SAVE,HA","['ALK', 'JBLU', 'DAL', 'LUV', 'SKYW', 'AAL', 'ALGT', 'SAVE', 'HA']"
UAMY,"AMRK,VNP-CA,MLI,PKOH","['AMRK', 'VNP-CA', 'MLI', 'PKOH']"
UAN,"CF,MOS,CGA,HFC","['CF', 'MOS', 'CGA', 'HFC']"
UAVS,"RCAT,RNWR,NOC,LMT","['RCAT', 'RNWR', 'NOC', 'LMT']"
UBA,"CVS,WMT,DIN","['CVS', 'WMT', 'DIN']"
UBCP,"SBFG,PEBO,OVBC,WSBC,FFBC,HBAN,PRK,FMNB","['SBFG', 'PEBO', 'OVBC', 'WSBC', 'FFBC', 'HBAN', 'PRK', 'FMNB']"
UBFO,"PACW,HAFC,PMBC,CVCY,BSRR,AMRB,WABC,CVBF,HTBK","['PACW', 'HAFC', 'PMBC', 'CVCY', 'BSRR', 'AMRB', 'WABC', 'CVBF', 'HTBK']"
UBOH,"UBCP,PEBO,FFBC,LCNB,OVBC,HBAN,PRK,SBFG,WSBC","['UBCP', 'PEBO', 'FFBC', 'LCNB', 'OVBC', 'HBAN', 'PRK', 'SBFG', 'WSBC']"
UBP,"CVS,DIN,WMT,BBBY,RAD","['CVS', 'DIN', 'WMT', 'BBBY', 'RAD']"
UBS,"JPM,DB,C,CS,GS,BAC,NTRS,BCS,WFC,HSBC","['JPM', 'DB', 'C', 'CS', 'GS', 'BAC', 'NTRS', 'BCS', 'WFC', 'HSBC']"
UBSI,"FCNCA,MTB,HBAN,FCBC,FITB,FNB,SNV,VMC,CHCO","['FCNCA', 'MTB', 'HBAN', 'FCBC', 'FITB', 'FNB', 'SNV', 'VMC', 'CHCO']"
UBX,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
UCBI,"AMNB,ABCB,NRIM,BANF","['AMNB', 'ABCB', 'NRIM', 'BANF']"
UCTT,"ENTG,BRKS,MKSI,AEIS,CVV,AMAT,ACLS,KLAC,LRCX,COHU","['ENTG', 'BRKS', 'MKSI', 'AEIS', 'CVV', 'AMAT', 'ACLS', 'KLAC', 'LRCX', 'COHU']"
UDR,"MMLP,DRH,ALX,WPG","['MMLP', 'DRH', 'ALX', 'WPG']"
UE,"DEA,HR,O,CUZ","['DEA', 'HR', 'O', 'CUZ']"
UEC,"DNN,LEU,URG,URE-CA,DML-CA","['DNN', 'LEU', 'URG', 'URE-CA', 'DML-CA']"
UEIC,"VOXX,KOSS,MSN,PHG,LOGI","['VOXX', 'KOSS', 'MSN', 'PHG', 'LOGI']"
UEPS,"V,WEX,EEFT,MA,FIS,FLT,EVTC,GPN","['V', 'WEX', 'EEFT', 'MA', 'FIS', 'FLT', 'EVTC', 'GPN']"
UFAB,"UFAB,UFPT,SPGX,RDVA","['UFAB', 'UFPT', 'SPGX', 'RDVA']"
UFCS,"L,CINF,TRV,CNA,CB,AFG,ACGL,RLI,WTM,THG","['L', 'CINF', 'TRV', 'CNA', 'CB', 'AFG', 'ACGL', 'RLI', 'WTM', 'THG']"
UFI,"DXYN,MHK,SCS,TILE","['DXYN', 'MHK', 'SCS', 'TILE']"
UFPI,"LPX,BCC,CFP-CA","['LPX', 'BCC', 'CFP-CA']"
UFPT,"CMT,CXDC,ASPN","['CMT', 'CXDC', 'ASPN']"
UFS,"IP,RFP,GLT,MERC","['IP', 'RFP', 'GLT', 'MERC']"
UG,"JNJ,SCL,TFX,PFE,IFF,ASH","['JNJ', 'SCL', 'TFX', 'PFE', 'IFF', 'ASH']"
UGI,"CLNE,SRE,NJR,SJI,NI,SPH,OKE,D,NFG,GNE","['CLNE', 'SRE', 'NJR', 'SJI', 'NI', 'SPH', 'OKE', 'D', 'NFG', 'GNE']"
UGP,"PBR,BAK,PETR3-BR,RDS.A,DOW","['PBR', 'BAK', 'PETR3-BR', 'RDS.A', 'DOW']"
UHAL,"CAR,R,LSTR,PAG,F,BRK.A","['CAR', 'R', 'LSTR', 'PAG', 'F', 'BRK.A']"
UHS,"THC,CYH,HCA,SEM,SSY,ACHC,WOOF,MD","['THC', 'CYH', 'HCA', 'SEM', 'SSY', 'ACHC', 'WOOF', 'MD']"
UHT,"UHS,SBRA,BDN,SKT","['UHS', 'SBRA', 'BDN', 'SKT']"
UIHC,"CB,HCI,STFC,FNHC,HRTG,ALL,NSEC,UVE,KINS","['CB', 'HCI', 'STFC', 'FNHC', 'HRTG', 'ALL', 'NSEC', 'UVE', 'KINS']"
UIS,"IBM,LDOS,MSFT,WYY,INTC,ORCL,CSCO","['IBM', 'LDOS', 'MSFT', 'WYY', 'INTC', 'ORCL', 'CSCO']"
UL,"CL,PEP,PG,GIS","['CL', 'PEP', 'PG', 'GIS']"
ULBI,"ENR,ENS,BDC,EPC","['ENR', 'ENS', 'BDC', 'EPC']"
ULH,"TCAN-CA,SVLT,SNDR,TFII-CA","['TCAN-CA', 'SVLT', 'SNDR', 'TFII-CA']"
ULTA,"SBH,LB,CVS,RGS","['SBH', 'LB', 'CVS', 'RGS']"
UMBF,"CBSH,EFSC,GSBC,WTBA,NBHC,HWBK,USB,WFC,BOKF,ATLO","['CBSH', 'EFSC', 'GSBC', 'WTBA', 'NBHC', 'HWBK', 'USB', 'WFC', 'BOKF', 'ATLO']"
UMC,"ASX,TSM,INTC,TSEM,IBM","['ASX', 'TSM', 'INTC', 'TSEM', 'IBM']"
UMH,"NOBH,AMH,HIW,WRI","['NOBH', 'AMH', 'HIW', 'WRI']"
UMPQ,"WAL,BANR,ZION,HFWA,CVBF,FRC,COLB,BMRC,PBCT","['WAL', 'BANR', 'ZION', 'HFWA', 'CVBF', 'FRC', 'COLB', 'BMRC', 'PBCT']"
UNAM,"ORI,CINF,RLI,CB,AFG,CNA,HCC","['ORI', 'CINF', 'RLI', 'CB', 'AFG', 'CNA', 'HCC']"
UNB,"BHB,NBTB,BPFH,EBTC,INDB,CNBKA,WASH,NBN,PMBC","['BHB', 'NBTB', 'BPFH', 'EBTC', 'INDB', 'CNBKA', 'WASH', 'NBN', 'PMBC']"
UNF,"CTAS,HCSG,ABM,ARMK","['CTAS', 'HCSG', 'ABM', 'ARMK']"
